Christian Kirk,JAC,WR,12,1,6,6,0,2,2,150.3,12.52,2.59
Sean Clifford,GB,QB,1,1,0,0,0,1,0,0,0,0
Kyle Pitts,ATL,TE,15,1,-4,-4,0,0,0,131.1,8.74,2.57
Adam Prentice,NO,FB,1,1,5,5,0,1,1,0,0,0
Cooper Kupp,LA,WR,11,1,-3,-3,0,0,0,149.7,13.61,2.67
Van Jefferson,LA,WR,4,1,4,4,0,0,0,19.4,4.85,2.16
Keisean Nixon,GB,CB,1,1,11,11,0,0,0,1.1,1.1,1.1
Rakim Jarrett,TB,WR,6,1,0,0,0,0,0,10,1.67,2
-,GB,WR,2,1,7,7,0,0,0,10.8,5.4,1.8
C.J. Ham,MIN,FB,6,1,7,7,0,0,0,10.2,1.7,1.28
Kenyan Drake,BAL,RB,1,1,0,0,0,1,1,3.1,3.1,1.03
Steven Sims,HOU,WR,2,1,1,1,0,0,0,5.6,2.8,1.4
Adam Thielen,CAR,WR,15,1,6,6,0,2,0,216,14.4,2.25
Jashaun Corbin,NYG,RB,1,1,1,1,0,0,0,4.3,4.3,1.08
Jason Cabinda,DET,FB,1,1,0,0,0,0,0,0,0,0
Mecole Hardman,KC,WR,4,1,3,3,0,0,0,12.4,3.1,1.38
Trent Taylor,CHI,WR,3,1,-2,-2,0,0,0,-0.2,-0.07,-0.2
Ezekiel Turner,ARI,ILB,1,1,2,2,0,0,0,0.2,0.2,0.2
Amani Hooker,TEN,FS,1,1,2,2,0,0,0,0.2,0.2,0.2
Sam LaPorta,DET,TE,15,1,4,4,0,0,0,206,13.73,2.75
Rashee Rice,KC,WR,15,1,-3,-3,0,2,1,194.8,12.99,2.6
Jordan Addison,MIN,WR,15,1,2,2,0,0,0,199.8,13.32,3.12
Tyler Conklin,NYJ,TE,15,1,0,0,0,0,0,110,7.33,2
Jonnu Smith,ATL,TE,13,1,0,0,0,1,1,112.3,8.64,2.34
Gabe Davis,BUF,WR,14,1,-2,-2,0,1,1,155.3,11.09,3.53
James Robinson,GB,RB,1,1,2,2,0,0,0,1,1,0.5
KhaDarel Hodge,ATL,WR,11,1,0,0,0,1,0,37.2,3.38,2.48
Jake Bobo,SEA,WR,12,1,3,3,1,0,0,53.6,4.47,2.98
Kenyan Drake,GB,RB,1,1,0,0,0,0,0,0,0,0
Dyami Brown,WAS,WR,12,1,0,0,0,0,0,34.8,2.9,2.68
Mike Williams,LAC,WR,3,1,3,3,0,0,0,50.2,16.73,2.51
Braxton Berrios,MIA,WR,11,1,11,11,0,0,0,52,4.73,2.17
Demarcus Robinson,LA,WR,7,1,23,23,0,0,0,74.2,10.6,3.53
Greg Dortch,ARI,WR,7,1,5,5,0,0,0,45.9,6.56,2.87
-,WAS,P,1,1,0,0,0,0,0,0,0,0
Connor Heyward,PIT,TE,10,1,0,0,0,0,0,37.3,3.73,1.7
Noah Gray,KC,TE,14,1,1,1,0,0,0,65.2,4.66,2.51
Cedric Tillman,CLE,WR,9,1,8,8,0,0,0,35.1,3.9,1.95
Johnny Hekker,CAR,P,2,1,-11,-11,0,1,1,-2.8,-1.41,-2.82
Evan Hull,IND,RB,1,1,1,1,0,0,0,1.7,1.7,0.85
Dallas Goedert,PHI,TE,12,1,1,1,0,0,0,119.2,9.93,2.21
Kylen Granson,IND,TE,13,1,2,2,0,0,0,67.4,5.18,2.32
Rashod Bateman,BAL,WR,14,1,18,18,0,0,0,67.1,4.79,2.31
Dontayvion Wicks,GB,WR,14,1,1,1,0,3,1,95.7,6.83,2.81
Noah Brown,HOU,WR,9,1,-1,-1,0,0,0,99.8,11.09,3.02
Kendrick Bourne,NE,WR,8,1,4,4,0,1,1,100,12.5,2.63
Kyle Trask,TB,QB,2,1,-1,-1,0,0,0,-0.1,-0.05,-0.1
Jonathan Williams,WAS,RB,1,1,-2,-2,0,0,0,-0.2,-0.2,-0.2
Deon Jackson,NYG,RB,1,1,2,2,0,0,0,0.2,0.2,0.2
