Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
85-A.Wesley,00-0035126,Antoine Wesley,ARI,38,33,1.8%,-0.1%,32,208,3,59%,19,3.2,0,2,54
6-M.Sanu,00-0029632,Mohamed Sanu,SF,36,33,4.5%,2.9%,24,177,0,63%,15,2.9,0,3,23
1-D.Carter,00-0031763,DeAndre Carter,WAS,33,21,-3.0%,-6.5%,44,296,3,55%,24,3.3,0,0,0
19-A.Tate,00-0034686,Auden Tate,CIN,32,32,71.1%,71.1%,4,39,1,75%,3,7.0,0,1,11
84-M.Goodwin,00-0030068,Marquise Goodwin,CHI,32,28,-2.7%,-3.7%,40,313,1,50%,20,4.2,1,3,79
15-C.Moore,00-0032398,Chris Moore,HOU,26,22,3.0%,0.4%,22,227,2,95%,21,7.1,0,0,0
1-N.Harry,00-0035624,N'Keal Harry,NE,26,22,1.9%,-0.3%,22,184,0,55%,12,2.1,0,1,10
12-N.Collins,00-0036554,Nico Collins,HOU,25,22,-7.7%,-8.2%,60,448,1,55%,33,4.0,0,2,34
8-E.Moore,00-0036980,Elijah Moore,NYJ,23,25,-8.9%,-8.5%,77,538,5,56%,43,4.8,0,1,41
2-Dj.Moore,00-0034827,DJ Moore,CAR,22,34,-10.9%,-9.9%,163,1157,4,57%,93,4.5,1,1,33
17-M.Strachan,00-0036482,Mike Strachan,IND,21,17,56.1%,44.2%,3,26,0,67%,2,0.0,0,1,13
16-J.Meyers,00-0034960,Jakobi Meyers,NE,21,17,-10.6%,-11.0%,126,866,2,66%,83,2.7,1,3,29
12-A.Robinson,00-0031428,Allen Robinson,CHI,19,8,-9.2%,-11.2%,66,410,1,58%,38,2.4,0,3,68
84-J.Bradley,00-0036110,Ja'Marcus Bradley,CLE,18,18,80.0%,76.7%,4,64,0,100%,4,4.0,0,0,0
80-J.Landry,00-0031382,Jarvis Landry,CLE,18,9,-10.1%,-11.3%,87,570,2,60%,52,5.3,1,3,54
11-J.Moore,,,LAC,18,22,40.7%,55.5%,4,56,0,75%,3,8.7,0,0,0
80-C.Rogers,00-0032355,Chester Rogers,TEN,17,18,-7.4%,-7.3%,43,301,1,70%,30,3.4,0,3,41
89-K.Toney,00-0036913,Kadarius Toney,NYG,15,6,-9.3%,-11.3%,57,420,0,68%,39,5.8,0,0,0
