Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Suc Rate
28-D.Johnson,00-0032257,Duke Johnson,MIA,65,53,12.6%,8.9%,71,330,3,0,55%
22-C.McCaffrey,00-0033280,Christian McCaffrey,CAR,62,21,7.0%,-3.3%,99,442,1,1,52%
41-A.Collins,00-0032426,Alex Collins,SEA,57,27,3.9%,-2.6%,108,411,2,0,51%
41-J.McKissic,00-0032602,J.D. McKissic,WAS,56,64,19.8%,23.8%,48,212,2,0,63%
25-C.Edwards-Helaire,00-0036360,Clyde Edwards-Helaire,KC,53,68,2.4%,5.5%,119,517,4,2,59%
32-C.Carson,00-0033594,Chris Carson,SEA,53,38,14.2%,7.6%,54,232,3,1,56%
33-D.Freeman,00-0031285,Devonta Freeman,BAL,51,88,0.3%,6.6%,133,576,5,0,59%
7-D.Foreman,00-0033925,D'Onta Foreman,TEN,50,37,0.5%,-1.9%,133,566,3,2,52%
22-N.Harris,00-0036893,Najee Harris,PIT,48,79,-4.8%,-2.4%,307,1207,7,0,49%
40-D.Gore,00-0035715,Derrick Gore,KC,47,49,13.0%,13.9%,51,256,2,0,61%
22-J.Jackson,00-0034440,Justin Jackson,LAC,45,55,7.0%,10.5%,68,364,2,1,51%
30-J.Williams,00-0033948,Jamaal Williams,DET,40,74,-2.6%,2.4%,153,601,3,1,54%
25-T.Homer,00-0035594,Travis Homer,SEA,39,41,36.8%,39.3%,21,177,1,0,57%
39-E.Penny,00-0032813,Elijhaa Penny,NYG,38,32,29.3%,23.3%,24,99,1,0,50%
14-K.Gainwell,00-0036919,Kenneth Gainwell,PHI,37,61,4.6%,12.7%,68,291,5,1,54%
23-T.Coleman,00-0032058,Tevin Coleman,NYJ,36,31,1.3%,-0.2%,84,356,0,0,54%
31-D.Dallas,00-0036425,DeeJay Dallas,SEA,36,30,13.9%,10.0%,33,138,2,0,58%
45-M.Burton,00-0031595,Michael Burton,KC,31,32,41.1%,43.2%,8,26,1,0,100%
20-Z.Moss,00-0036251,Zack Moss,BUF,30,34,-1.1%,-0.1%,96,345,4,0,51%
8-D.Williams,00-0030874,Damien Williams,CHI,30,20,8.7%,3.1%,40,164,2,0,50%
28-J.Jacobs,00-0035700,Josh Jacobs,LV,28,76,-5.7%,-0.8%,217,877,9,2,54%
32-J.Patterson,00-0036755,Jaret Patterson,WAS,25,30,0.5%,2.1%,68,266,2,1,49%
