Player,Team,Pos,Games,Att,Yds,YPA,TD,Fum,FumL,PPR,PPR/G,PPR/T
Jalen Hurts,PHI,QB,15,138,780,5.7,9,8,2,308.8,20.58,2.24
Miles Sanders,PHI,RB,12,137,754,5.5,0,1,1,115.2,9.6,0.71
Alexander Mattison,MIN,RB,16,134,491,3.7,3,1,1,125.9,7.87,0.76
Devonta Freeman,BAL,RB,16,133,576,4.3,5,0,0,146.6,9.16,0.88
D'Onta Foreman,TEN,RB,9,133,566,4.3,3,2,1,93.9,10.43,0.66
Rhamondre Stevenson,NE,RB,12,133,605,4.5,5,2,1,114.8,9.57,0.78
Lamar Jackson,BAL,QB,12,133,767,5.8,2,5,3,249,20.75,1.87
Tony Pollard,DAL,RB,15,130,719,5.5,2,2,0,156.6,10.44,0.93
Josh Allen,BUF,QB,17,122,763,6.3,6,8,3,411.6,24.21,3.37
Rex Burkhead,HOU,RB,14,122,427,3.5,3,1,0,104.3,7.45,0.71
Clyde Edwards-Helaire,KC,RB,10,119,517,4.3,4,2,2,115.6,11.56,0.84
Latavius Murray,BAL,RB,14,119,501,4.2,6,0,0,103.6,7.4,0.8
Rashaad Penny,SEA,RB,10,119,749,6.3,6,0,0,121.7,12.17,0.97
Chase Edmonds,ARI,RB,12,117,600,5.1,2,1,1,144.1,12.01,0.9
Alex Collins,SEA,RB,11,108,411,3.8,2,1,1,68.8,6.25,0.59
Khalil Herbert,CHI,RB,14,103,433,4.2,2,0,0,78.9,5.64,0.67
Ronald Jones,TB,RB,15,101,428,4.2,4,2,2,79.2,5.28,0.71
D'Ernest Johnson,CLE,RB,12,100,534,5.3,3,1,0,104.1,8.68,0.87
Christian McCaffrey,CAR,RB,7,99,442,4.5,1,1,0,127.5,18.21,0.94
Zack Moss,BUF,RB,13,96,345,3.6,4,2,1,105.2,8.09,0.88
Mark Ingram,HOU,RB,7,92,294,3.2,1,0,0,44.8,6.4,0.45
Kyler Murray,ARI,QB,14,87,423,4.9,5,10,0,309.8,22.13,3.56
Boston Scott,PHI,RB,9,87,373,4.3,7,1,1,98.6,10.96,0.99
Jordan Howard,PHI,RB,7,86,406,4.7,3,0,0,62.5,8.93,0.71
Tevin Coleman,NYJ,RB,11,84,356,4.2,0,0,0,51.5,4.68,0.54
Jeff Wilson,SF,RB,6,79,294,3.7,2,1,0,51.5,8.58,0.6
Kareem Hunt,CLE,RB,8,78,386,4.9,5,0,0,107.8,13.48,1.08
Justin Fields,CHI,QB,12,72,420,5.8,2,12,5,136.8,11.4,1.9
Trevor Lawrence,JAC,QB,17,72,330,4.6,2,8,5,211.6,12.45,2.94
Carlos Hyde,JAC,RB,12,72,253,3.5,1,2,2,45.8,3.82,0.55
Duke Johnson,MIA,RB,5,71,330,4.6,3,0,0,59.1,11.82,0.79
