rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
122,23230,Dorian Thompson-Robinson,CLE,QB,1,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
123,25494,Rocky Lombardi,CIN,QB,1,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
124,23476,E.J. Perry,JAC,QB,1,MIA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
125,24956,J.J. McCarthy,MIN,QB,1,NYG,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
126,23267,Bailey Zappe,NE,QB,1,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
127,18118,Brandon Allen,SF,QB,1,NYJ,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
128,24124,Tanner McKee,PHI,QB,1,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
129,22497,Ian Book,KC,QB,1,BAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
130,22493,Trey Lance,DAL,QB,1,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
131,20874,Trace McSorley,WAS,QB,1,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
