rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
16,23205,Jerome Ford,CLE,RB,2,JAC,15.2,62.4,4.1,0.4,4.2,2.9,20.7,0.1,0.1,0.1,14.0
17,22546,Rhamondre Stevenson,NE,RB,2,SEA,16.3,66.6,4.1,0.4,3.6,2.6,18.3,0.1,0.1,0.1,13.9
18,18877,Christian McCaffrey,SF,RB,2,MIN,10.5,59.9,5.7,0.5,2.5,2.4,18.3,0.1,0.1,0.1,13.6
19,23217,Rachaad White,TB,RB,2,DET,12.7,51.2,4.0,0.3,4.0,3.4,26.5,0.1,0.1,0.1,13.4
20,23214,Kenneth Walker III,SEA,RB,2,NE,14.5,63.2,4.4,0.5,3.0,2.1,15.0,0.1,0.1,0.1,13.3
21,19045,Aaron Jones,MIN,RB,2,SF,12.5,54.8,4.4,0.4,3.8,2.8,19.9,0.1,0.1,0.1,13.1
22,23364,Jordan Mason,SF,RB,2,MIN,12.8,62.3,4.9,0.5,2.2,1.7,11.7,0.1,0.0,0.0,12.7
23,20882,David Montgomery,DET,RB,2,TB,13.1,61.8,4.7,0.6,1.7,1.3,9.3,0.1,0.1,0.1,12.4
24,23190,Brian Robinson Jr.,WAS,RB,2,NYG,13.6,56.3,4.1,0.4,2.2,1.9,15.1,0.1,0.1,0.1,11.8
25,21674,J.K. Dobbins,LAC,RB,2,CAR,11.4,54.5,4.8,0.4,2.5,2.1,14.2,0.1,0.1,0.1,11.8
26,21768,Najee Harris,PIT,RB,2,DEN,16.2,65.5,4.0,0.4,1.9,1.4,9.4,0.1,0.1,0.1,11.7
27,20941,Devin Singletary,NYG,RB,2,WAS,13.4,55.9,4.2,0.3,3.0,2.3,15.4,0.1,0.1,0.1,11.6
28,21784,Zack Moss,CIN,RB,2,KC,11.8,50.4,4.3,0.4,2.8,2.1,14.9,0.1,0.0,0.0,11.6
29,20912,Tony Pollard,TEN,RB,2,NYJ,13.8,56.4,4.1,0.3,2.8,2.1,15.0,0.1,0.1,0.1,11.4
30,21684,D'Andre Swift,CHI,RB,2,HOU,12.2,50.2,4.1,0.3,3.1,2.2,15.4,0.1,0.1,0.1,11.0
31,17923,Ezekiel Elliott,DAL,RB,2,NO,11.2,45.1,4.0,0.4,2.3,2.0,13.6,0.1,0.1,0.1,10.7
32,21691,Chuba Hubbard,CAR,RB,2,LAC,11.8,47.9,4.1,0.3,2.1,1.5,11.1,0.1,0.1,0.1,9.6
33,24311,Jaleel McLaughlin,DEN,RB,2,PIT,8.6,38.2,4.4,0.2,3.1,2.3,16.7,0.1,0.1,0.1,9.4
34,24123,Tyjae Spears,TEN,RB,2,NYJ,7.0,29.5,4.2,0.2,3.6,2.6,18.9,0.1,0.0,0.0,9.2
35,19562,Austin Ekeler,WAS,RB,2,NYG,5.5,23.9,4.3,0.2,3.5,2.9,23.4,0.1,0.1,0.1,9.2
36,22558,Javonte Williams,DEN,RB,2,PIT,11.4,44.0,3.9,0.3,2.6,1.9,12.7,0.0,0.1,0.1,9.2
37,22539,Zamir White,LV,RB,2,BAL,13.2,50.8,3.8,0.3,1.8,1.2,8.5,0.0,0.1,0.1,8.7
38,24374,Chase Brown,CIN,RB,2,KC,7.3,28.6,3.9,0.2,2.6,2.1,15.5,0.1,0.0,0.0,8.3
39,23173,Zach Charbonnet,SEA,RB,2,NE,8.7,33.5,3.9,0.2,2.4,1.9,13.4,0.1,0.1,0.1,8.2
40,23479,Jaylen Warren,PIT,RB,2,DEN,6.2,28.7,4.6,0.2,2.5,2.2,14.8,0.1,0.1,0.1,8.2
41,20239,Gus Edwards,LAC,RB,2,CAR,8.9,40.2,4.5,0.3,1.1,0.9,6.9,0.1,0.0,0.0,8.0
