"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Cade Stover","HOU","TE","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.6","0.7","0.5"
"Charlie Kolar","BAL","TE","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.6","0.7","0.5"
"Kameron Johnson","TB","WR","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.4","0.5","0.3"
"Trent Sherfield","MIN","WR","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.4","0.5","0.3"
"Quintin Morris","BUF","TE","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","1.0","0.1","0.0","","","","","","","","","","","","0.5","0.6","0.5"
"Chris Manhertz","NYG","TE","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.5","0.6","0.4"
"Connor Heyward","PIT","TE","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","1.0","0.1","0.0","","","","","","","","","","","","0.5","0.5","0.4"
"Hunter Long","LA","TE","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","1.0","0.1","0.0","","","","","","","","","","","","0.5","0.5","0.4"
"Gardner Minshew","LV","QB","BAL","20.0","31.7","206.7","0.7","0.9","2.7","5.9","0.1","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","11.1","11.1","11.1"
"Simi Fehoko","LAC","WR","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Scotty Miller","PIT","WR","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Chris Conley","SF","WR","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Bo Melton","GB","WR","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Britain Covey","PHI","WR","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Devin Duvernay","JAC","WR","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Brenden Bates","NYJ","TE","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.4","0.4","0.3"
"Ross Dwelley","ATL","TE","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","2.0","0.0","0.0","","","","","","","","","","","","0.4","0.5","0.3"
"Nate Adkins","DEN","TE","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Parker Hesse","DET","TE","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Ko Kieft","TB","TE","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Jaheim Bell","NE","TE","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Jake Tonges","SF","TE","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
"Nick Muse","MIN","TE","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","1.0","0.0","0.0","","","","","","","","","","","","0.2","0.3","0.2"
