rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
258,22685,Terrace Marshall Jr.,SF,WR,2,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
259,16141,Willie Snead IV,MIA,WR,2,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
260,25414,Terique Owens,SF,WR,2,MIN,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
261,24341,Malik Knowles,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
262,25429,Ty James,MIN,WR,2,SF,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
263,22594,Frank Darby,SF,WR,2,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
264,23642,Jalen Virgil,BUF,WR,2,MIA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
265,24894,Lucky Jackson,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
266,19755,River Cracraft,MIA,WR,2,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
267,20792,N'Keal Harry,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
268,24982,Ricky Pearsall,SF,WR,2,MIN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
269,23325,Erik Ezukanma,MIA,WR,2,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
270,21725,Trishton Jackson,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
271,25430,Jeshaun Jones,MIN,WR,2,SF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
